link,likes,caption,posting_time
https://www.instagram.com/p/DHKoo3DqqXq/,23,"14w
Delhi Capitals named Axar Patel as its captain for the IPL 2025 season on Friday.

Axar, with Delhi Capitals since 2019, was its top retention for Rs 16.50 crore ahead of the 2024 mega auction. Though lacking extensive captaincy experience, he was India’s T20I vice-captain in January 2025. He has led Gujarat in 23 matches, including the Syed Mushtaq Ali and Vijay Hazare Trophies.

Axar captained DC once last season, losing a match to RCB. He enters IPL 2025 after a key role in India’s Champions Trophy win, excelling with both bat and ball.

The team will kick off its campaign against the Lucknow Super Giants in Visakhapatnam on March 24.",2025-03-14T04:22:00.000Z
https://www.instagram.com/p/DHlNCL5oRmt/,337,"12w
Delhi Capitals vs Lucknow Super Giants

Bet on your favourite team NOW! Who will win this epic clash? 🏆

✅ 20% Weekly Cashback 
✅ Fast Bank Withdrawals 
✅ Live Betting

Register now on INDI365.com and start winning!

              sports",2025-03-24T12:00:17.000Z
https://www.instagram.com/p/DKC9u5bhl_K/,,"3w
Capital Domination! 💥 Delhi crush it in Match 66 with a 6-wicket win!

📷: Getty Images
Disclaimer: Photo belongs to the original creators. Shared for info only. No profit intended. DM for removal.

[Delhi Capitals, IPL 2025 DC victory, DC won by 6 wickets, Delhi Capitals latest match result, DC match highlights IPL, DCvsPBS, Indian Premier League]",2025-05-24T18:26:34.000Z
https://www.instagram.com/p/DHnS9aesKlF/,"147,406","12w
Delhi Capitals team congratulates KL Rahul and Athiya Shetty on the birth of their baby girl 👨‍👩‍👧😍

📸: Delhi Capitals/ X

     2025",2025-03-25T07:30:31.000Z
https://www.instagram.com/p/DJ7LST8y0fg/,"9,787","4w
From Dream Start to Disappointment! ❌

Delhi Capitals started IPL 2025 with 4 straight wins… now knocked out after a crushing defeat to Mumbai Indians! 🤯💔",2025-05-21T17:51:04.000Z
https://www.instagram.com/p/DH3wFfpPbmf/,"29,840","11w
Delhi Capitals team bus in Chennai 😁🔥",2025-03-31T16:52:53.000Z
https://www.instagram.com/p/DJRxUcipddB/,7,"6w
Delhi Capitals made a comeback of sorts to finish with 133/7 after being reduced to 29/5 with SRH captain Pat Cummins running through the top order.

 2025",2025-05-05T15:55:19.000Z
https://www.instagram.com/p/DJ7QMKUBj0o/,"10,890","Edited
•
Delhi Capitals story this season!😬😓",2025-05-21T18:34:19.000Z
https://www.instagram.com/p/DGGhuMht_MD/,,"17w
DELHI CAPITALS DEFEATED MUMBAI INDIANS BY 2 WICKETS!

Follow For More Cricket Updates!
@cricinlast24hr",2025-02-15T17:33:11.000Z
https://www.instagram.com/p/DIRlsIQh0k-/,7,"10w
DC Seals the Win! 🔥🏏
Delhi Capitals defeat RCB by 6 wickets in a power-packed IPL 2025 showdown!

Good news for fans in Nepal — watch every match LIVE & FREE on StyxSports.com!

📲 Tap the link now and never miss a moment of the action!",2025-04-10T17:42:17.000Z
https://www.instagram.com/p/DIKzUNhB4mW/,"1,224","10w
Delhi Capitals Jersey Evolution (2008-2025)
Follow @criccnation for latest cricket news and posts 
 fanclub status             diaries",2025-04-08T02:26:41.000Z
https://www.instagram.com/p/DHl06H1ycXh/,"12,976","12w
Delhi Capitals pull off a thriller to secure a stunning victory! 🔥💙

A nail-biting finish in Visakhapatnam! 🔥🥶",2025-03-24T17:48:42.000Z
https://www.instagram.com/p/DHaWcbCsPQt/,4,"13w
Delhi Capitals have finished at the bottom of the points table most times in IPL history
          2025",2025-03-20T06:50:50.000Z
https://www.instagram.com/p/DH01xR_SkB9/,34,"11w
Delhi Capitals' bowlers were on fire today, dismantling the opposition with a sensational display of wicket-taking!⚡
A truly electrifying performance that kept the game in our control from start to finish! 🏏✨",2025-03-30T13:44:50.000Z
https://www.instagram.com/p/DHnYb4TMDBt/,"98,020","12w
आईपीएल 2025 के रोमांचक मुकाबले में दिल्ली कैपिटल्स ने लखनऊ सुपर जायंट्स को एक विकेट से हराया. मैच आखिरी गेंद तक गया, जिससे फैंस की सांसें अटकी रहीं। जीत के बाद दिल्ली कैपिटल्स के कप्तान अक्षर पटेल ने मज़ेदार अंदाज में कहा, ""आदत डाल लो, ऐसा ही होने वाला है. मेरी कप्तानी में ऐसा ही रहेगा, मेरे फैसले भी थोड़े ऊपर-नीचे रहते हैं!""

       

[ Axar Patel | Delhi Capitals | Captain | IPL 2025 | Cricket | Sports ]",2025-03-25T08:18:23.000Z
